food_kr,food_en,source_reliability,source_name,rule_source,임산부_정보유무,임산부_주의,수유부_정보유무,수유부_주의
카페인 (300mg/일),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
그리송 고기,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
카르파치오,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
갈은 소고기,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
고양이 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
연어 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
랜드헌터,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
만난,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
메트부르스트,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
견과류 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
파르마 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
플록부르스트,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
훈제 베이컨,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
훈제 고기,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
원시 카슬러,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
롤햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
살라미,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
베이컨,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
슬래그 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
그리스 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
블랙 포레스트 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
세라노 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
타타르어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
티부르스트 등 각종 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
비어 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
맥주 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
블랙 푸딩,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
콘드 비프,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
데브레이너,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
고기 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
프랑크푸르트,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
요리된 카슬러,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
노란색 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
돼지 고기 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
작두부르스트,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
캐세크라이너,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
요리 된 햄,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
떡갈비,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
리버부어스트,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
리옹,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
모르타델라,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
프레스 헤드,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
압착 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
젤리,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
흰 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
브리,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
캄보졸라,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
카망베르,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
쇼메,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
쉐브르,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
에스롬,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
페타(열린 용기에서),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
핸드 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
하르저,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
하르츠 역할,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
코티지 치즈(열린 병),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
림버거,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
마인츠 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
마스카포네(개봉된 용기),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
모짜렐라(열린 용기에서),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
뮌스터,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
올로모우츠 콰르겔,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
뿌-레베크,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
진 왕자,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
리코타(개봉된 용기),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
로마두르,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
로크포르,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
페타 치즈(열린 용기에서),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
뾰족한 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
치즈 스틱,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
탈레지오,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
바쉐린 프리부르지오,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
준비된 강판 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
구운 까망베르,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
버터 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
브리 치즈(저온 살균),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
Feta(공업적으로 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
크림 치즈(공업적으로 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
고다(껍질 없음),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
코티지 치즈(공업적으로 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
치즈 퐁듀,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
치즈 요리하기,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
리어담머,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
마스카포네(공업용 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
모짜렐라(공업적으로 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
오븐 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
파마산 치즈(껍질 제외),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
라클렛,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
리코타(공업용 포장),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
양의 치즈(공업적으로 포장됨),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
가공 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
Tilsiter 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
날달걀,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
밀랍 달걀,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
티라미수(갓 만든),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
마요네즈(갓 준비한 것),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
홀렌데이즈 소스(갓 준비한 것),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
신선한 아이스크림,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
7분 삶은 계란,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
계란 후라이(한 면 당 3분),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
굴,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
생선 카르파초,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
"게, 새우, 참새우, 가재",,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
그라브락스,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
캐비어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
훈제 장어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
훈제 송어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
훈제 연어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
생선회,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
회,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
생선찜,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
생선 튀김,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
생선 요리,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
튀긴 청어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
토마토 소스에 청어,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Safe,FALSE,None
정향,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
육두구,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
파슬리,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
바질,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
시나몬,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
생강,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
고수,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Caution,FALSE,None
한삼덩굴추출분말,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1106424,TRUE,Avoid,TRUE,Avoid
인디안구스베리·새싹보리추출복합물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1106423,TRUE,Avoid,TRUE,Avoid
살라시아레티큘라타추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1106422,TRUE,Avoid,TRUE,Avoid
해바라기종자추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1106421,TRUE,Avoid,TRUE,Avoid
병풀추출분말,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105995,TRUE,Avoid,TRUE,Avoid
파비플로라생강뿌리추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105994,TRUE,Avoid,TRUE,Avoid
루테인지아잔틴추출복합물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105993,TRUE,Avoid,TRUE,Avoid
복분자추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105992,TRUE,Caution,TRUE,Caution
감국감태추출복합물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105991,TRUE,Avoid,TRUE,Avoid
Lactiplantibacillus plantarum LMT1-48 프로바이오틱스,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105990,TRUE,Avoid,TRUE,Avoid
오미자박추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105989,TRUE,Avoid,TRUE,Avoid
오미자박추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105988,TRUE,Avoid,TRUE,Avoid
저분자돈태반펩타이드,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105987,TRUE,Avoid,TRUE,Avoid
녹각효소분해추출물HP,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1105986,TRUE,Avoid,TRUE,Avoid
라임과피추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104959,TRUE,Avoid,TRUE,Avoid
모로오렌지추출분말,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104958,TRUE,Avoid,TRUE,Avoid
덖음귤피추출분말,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104957,TRUE,Avoid,TRUE,Avoid
덖음귤피추출분말,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104956,TRUE,Avoid,TRUE,Avoid
골드키위유산균발효물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104955,TRUE,Avoid,TRUE,Avoid
상추추출물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104954,TRUE,Avoid,TRUE,Avoid
대두배아유산균발효물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104953,TRUE,Avoid,TRUE,Avoid
사탕수수왁스알코올,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104952,TRUE,Avoid,TRUE,Avoid
헛개나무과병·오미자박추출복합물,,High,식품안전나라 – 식품의약품안전처 운영,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_grp=MENU_NEW01&menu_no=2660&bbs_no=bbs987&nticmatr_yn=N&bbs_type_cd=01&ans_yn=N&ntctxt_no=1104306,TRUE,Avoid,TRUE,Avoid
